p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,cateogory
0.05158508,0.04541007,0.05128805,0.04858509,0.03954954,0.04601326,0.04800203,0.05634764,0.05902045,0.05860622,0.05189545,0.05916622,0.05394935,0.05097731,0.04224082,long_blink
0.04601326,0.04800203,0.05634764,0.05902045,0.05860622,0.05189545,0.05916622,0.05394935,0.05097731,0.04224082,0.03553771,0.05128573,0.0459738,0.04839078,0.06107287,long_blink
0.05189545,0.05916622,0.05394935,0.05097731,0.04224082,0.03553771,0.05128573,0.0459738,0.04839078,0.06107287,0.04797583,0.03561278,0.0456186,0.04311117,0.04554857,long_blink
0.03553771,0.05128573,0.0459738,0.04839078,0.06107287,0.04797583,0.03561278,0.0456186,0.04311117,0.04554857,0.04858313,0.04122116,0.04028273,0.05282691,0.0526008,long_blink
0.04797583,0.03561278,0.0456186,0.04311117,0.04554857,0.04858313,0.04122116,0.04028273,0.05282691,0.0526008,0.06863597,0.06221985,0.0677084,0.05153001,0.0521759,long_blink
0.04858313,0.04122116,0.04028273,0.05282691,0.0526008,0.06863597,0.06221985,0.0677084,0.05153001,0.0521759,0.07889362,0.06859184,0.055651,0.07092691,0.05098336,long_blink
0.06863597,0.06221985,0.0677084,0.05153001,0.0521759,0.07889362,0.06859184,0.055651,0.07092691,0.05098336,0.08268319,0.05921181,0.06142953,0.0658449,0.07159465,long_blink
0.07889362,0.06859184,0.055651,0.07092691,0.05098336,0.08268319,0.05921181,0.06142953,0.0658449,0.07159465,0.10747162,0.08329591,0.07998017,0.0961856,0.09023806,long_blink
0.08268319,0.05921181,0.06142953,0.0658449,0.07159465,0.10747162,0.08329591,0.07998017,0.0961856,0.09023806,0.05463959,0.06810171,0.06887388,0.04052779,0.04969644,long_blink
0.10747162,0.08329591,0.07998017,0.0961856,0.09023806,0.05463959,0.06810171,0.06887388,0.04052779,0.04969644,0.05129354,0.03500327,0.06663174,0.07160594,0.04899745,long_blink
0.05463959,0.06810171,0.06887388,0.04052779,0.04969644,0.05129354,0.03500327,0.06663174,0.07160594,0.04899745,0.05332223,0.06019394,0.06743115,0.05832011,0.0547824,long_blink
0.05129354,0.03500327,0.06663174,0.07160594,0.04899745,0.05332223,0.06019394,0.06743115,0.05832011,0.0547824,0.0394858,0.03985348,0.04847783,0.06187157,0.05930451,long_blink
0.05332223,0.06019394,0.06743115,0.05832011,0.0547824,0.0394858,0.03985348,0.04847783,0.06187157,0.05930451,0.06795015,0.04859582,0.05427522,0.06013238,0.05996815,long_blink
0.0394858,0.03985348,0.04847783,0.06187157,0.05930451,0.06795015,0.04859582,0.05427522,0.06013238,0.05996815,0.06061692,0.05836002,0.05852685,0.05870638,0.069793,long_blink
0.06795015,0.04859582,0.05427522,0.06013238,0.05996815,0.06061692,0.05836002,0.05852685,0.05870638,0.069793,0.06481694,0.05853321,0.0371552,0.04687948,0.05825687,long_blink
