p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,category
0.053322235,0.060193941,0.06743115,0.058320112,0.054782399,0.039485801,0.039853484,0.048477828,0.061871566,0.059304507,0.06795015,0.048595816,0.054275219,0.060132384,0.059968152,long_blink
0.039485801,0.039853484,0.048477828,0.061871566,0.059304507,0.06795015,0.048595816,0.054275219,0.060132384,0.059968152,0.060616919,0.058360017,0.058526851,0.058706375,0.069793004,long_blink
0.06795015,0.048595816,0.054275219,0.060132384,0.059968152,0.060616919,0.058360017,0.058526851,0.058706375,0.069793004,0.064816939,0.058533211,0.037155197,0.04687948,0.058256871,long_blink
0.060616919,0.058360017,0.058526851,0.058706375,0.069793004,0.064816939,0.058533211,0.037155197,0.04687948,0.058256871,0.049000092,0.057935485,0.047143083,0.045688691,0.07090588,long_blink
0.064816939,0.058533211,0.037155197,0.04687948,0.058256871,0.049000092,0.057935485,0.047143083,0.045688691,0.07090588,0.044012672,0.059776488,0.064577421,0.070002489,0.062169936,long_blink
0.049000092,0.057935485,0.047143083,0.045688691,0.07090588,0.044012672,0.059776488,0.064577421,0.070002489,0.062169936,0.067243167,0.065326853,0.05706122,0.058142741,0.044499014,long_blink
0.044012672,0.059776488,0.064577421,0.070002489,0.062169936,0.067243167,0.065326853,0.05706122,0.058142741,0.044499014,0.057131505,0.038721588,0.047595361,0.051171119,0.058534999,long_blink
0.067243167,0.065326853,0.05706122,0.058142741,0.044499014,0.057131505,0.038721588,0.047595361,0.051171119,0.058534999,0.063772317,0.050021586,0.05066742,0.037399591,0.062342141,long_blink
0.057131505,0.038721588,0.047595361,0.051171119,0.058534999,0.063772317,0.050021586,0.05066742,0.037399591,0.062342141,0.025815586,0.053289458,0.05782621,0.033538052,0.048669213,long_blink
0.063772317,0.050021586,0.05066742,0.037399591,0.062342141,0.025815586,0.053289458,0.05782621,0.033538052,0.048669213,0.048804926,0.045865274,0.035965577,0.052330968,0.040092685,long_blink
0.025815586,0.053289458,0.05782621,0.033538052,0.048669213,0.048804926,0.045865274,0.035965577,0.052330968,0.040092685,0.052330968,0.055902631,0.05685747,0.060267254,0.056238135,long_blink
0.048804926,0.045865274,0.035965577,0.052330968,0.040092685,0.052330968,0.055902631,0.05685747,0.060267254,0.056238135,0.04959815,0.041513608,0.042787078,0.051740327,0.070956823,long_blink
0.052330968,0.055902631,0.05685747,0.060267254,0.056238135,0.04959815,0.041513608,0.042787078,0.051740327,0.070956823,0.077193343,0.083755427,0.088955716,0.117512163,0.088675448,long_blink
